[2015-01-10 07:28:16  - Info ] Inicio test base de datos MongoDB
[2015-01-10 07:28:24  - Info ] Inicio test: MON_1 fichero: 100000.txt en colección: coleccion_100000
[2015-01-10 07:28:25  - Info ] Número de ocurrencias encontradas: 24207
[2015-01-10 07:28:25  - Info ] Registro actualizado correctamente
[2015-01-10 07:28:25  - Info ] Inicio test: MON_2 fichero: 100000.txt en colección: coleccion_100000
[2015-01-10 07:28:26  - Info ] Número de ocurrencias encontradas: 75695
[2015-01-10 07:28:26  - Info ] Registro actualizado correctamente
[2015-01-10 07:28:26  - Info ] Inicio test: MON_3 fichero: 100000.txt en colección: coleccion_100000
[2015-01-10 07:28:26  - Info ] Número de ocurrencias encontradas: 7683
[2015-01-10 07:28:26  - Info ] Registro actualizado correctamente
[2015-01-10 07:28:26  - Info ] Inicio test: MON_4 fichero: 100000.txt en colección: coleccion_100000
[2015-01-10 07:28:33  - Info ] Número de ocurrencias encontradas: 0
[2015-01-10 07:28:33  - Info ] Registro actualizado correctamente
[2015-01-10 07:28:33  - Info ] Inicio test: MON_5 fichero: 100000.txt en colección: coleccion_100000
[2015-01-10 07:28:33  - Info ] Número de ocurrencias encontradas: 1
[2015-01-10 07:28:33  - Info ] Registro actualizado correctamente
[2015-01-10 07:28:33  - Info ] Inicio test: MON_6 fichero: 100000.txt en colección: coleccion_100000
[2015-01-10 07:28:33  - Info ] Número de ocurrencias encontradas: 500
[2015-01-10 07:28:34  - Info ] Registro actualizado correctamente
[2015-01-10 07:28:34  - Info ] Inicio test: MON_7 fichero: 100000.txt en colección: coleccion_100000
[2015-01-10 07:28:34  - Info ] Número de ocurrencias encontradas: 587
[2015-01-10 07:28:34  - Info ] Registro actualizado correctamente
[2015-01-10 07:28:34  - Info ] Inicio test: MON_8 fichero: 100000.txt en colección: coleccion_100000
[2015-01-10 07:28:34  - Info ] Número de ocurrencias encontradas: 14729
[2015-01-10 07:28:34  - Info ] Registro actualizado correctamente
[2015-01-10 07:28:34  - Info ] Inicio test: MON_1 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-10 07:29:09  - Info ] Número de ocurrencias encontradas: 242188
[2015-01-10 07:29:09  - Info ] Registro actualizado correctamente
[2015-01-10 07:29:09  - Info ] Inicio test: MON_2 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-10 07:29:19  - Info ] Número de ocurrencias encontradas: 756818
